,hi-en,hi
257,kritendan,क्रिटेंडन
258,kalevari,क्लेवरी
259,baiptist,बैपटिस्ट
260,beljiyam,बेल्जियम
261,intal,इंटल
262,bijnes,बिज़नेस
263,kash,काश
264,sautan,सौतन
265,beti,बेटी
266,steve,स्टीव
267,rikson,रिक्सन
268,yashima,यशिमा
269,milicent,मिलिसेंट
270,saya,साया
271,machines,मशीन्स
272,mahageet,महागीत
273,charles,चार्ल्स
274,kauvantri,कॉवेंट्री
275,sheila,शैला
276,khudra,खुदा
277,kasam,कसम
278,anuva,अनुवा
279,makil,मक़िल
280,liyouna,लियोना
281,baintula,बन्दुला
282,varnapura,वर्नापुरा
283,thnavant,धनवंत
284,iklawit,ग्लाइड
285,myritaim,मैरीटाइम
286,merit,मेरिट
287,anhkom,आँखों
288,harshele,हरशेले
289,gibs,गिब्स
290,banujaah,बनुजाह
291,damount,डॉमोंट
292,basmaah,बस्माह
293,endi,एण्डी
294,paicroft,पाइक्रोफ्ट
295,gender,ज़ैंडर
296,pinkwillow,पिंक्वीलो
297,may,में
298,santa,सांता
299,mariya,मारिया
300,stevan,स्टीवन
301,playvin,प्लेविन
302,takaniya,डाकनिया
303,talav,तलाव
304,abhijvala,अभिज्वाला
305,luckjambark,लक्ज़ेम्बर्ग
306,zeeda,सिटी
307,yoonivarsiti,यूनिवर्सिटी
308,kalej,कॉलेज
309,landan,लंडन
310,gehamar,गेहमर
311,priyathaa,प्रियशा
312,teleree,टेलेरी
313,chchindavaadaa,छिंदवाड़ा
314,jankshan,जंक्शन
315,malik,मलिक
316,raiphelo,रैफेलो
317,phoebe,फोएबे
318,cage,पिंजरा
319,amer,आमेर
320,devgan,देवगन
321,road,रोड
322,mujahid,मुजाहिद
323,jamshed,जमशेद
324,suzuki,सुज़ुकी
325,motor,मोटर
326,broadwater,ब्रॉडवाटर
327,bagri,बागरी
328,sajanpure,सज्जनपुर
329,niramay,निरामय
330,hum,हम
331,tum,तुम
332,aur,और
333,wo,वो
334,amanat,अमानत
335,ichhita,इच्छिता
336,jaiki,जैकी
337,devdharkar,देवधरकर
338,hasan,हसन
339,shaik,शेक
340,haimdres,हैंड्‍स
341,agar,अगर
342,na,न
343,hote,होते
344,adhikar,अधिकार
345,vinodini,विनोदिनी
346,amlaai,अम्लाई
347,debashish,देबाशीश
348,kaushik,कौशिक
349,somanshu,सोमांशु
350,karsan,कर्सन
351,ghavri,घावरी
352,opto,ऑप्टो
353,circuits,सर्किट्स
354,noma,नोमा
355,aacharyasuta,आचार्यसुता
356,suraj,सूरज
357,gyanda,ज्ञानदा
358,roshan,रोशन
359,jurangpathi,जुरंगपथी
360,jaisi,जेसी
361,james,जेम्स
362,aage,आगे
363,badho,बढ़ो
364,abhayprad,अभयप्रद
365,prize,प्राइज़
366,literature,लिट्रेचर
367,waqt,वक्त
368,deewar,दीवार
369,ahmed,अहमद
370,kamaal,कमाल
371,jawaharlal,जवाहरलाल
372,nehru,नेहरू
373,tirupatisaram,तिरुपतीसराम
374,asif,आसिफ
375,mahmood,महमूद
376,triptaa,तृप्ता
377,raveesh,रवीश
378,berish,बेरिस
379,dam,डैम
380,kashef,कशेफ
381,saiful,सैफुल
382,islam,इस्लाम
383,biswesvraya,विश्वेसवराया
384,preet,प्रीत
385,not,न
386,the,जाने
387,reet,रीत
388,supreme,सुप्रीम
389,petro,पेट्रो
390,pearsa,पेअरसैल
391,film,फिल्म
392,he,ही
393,manthan,मंथन
394,akram,अकरम
395,sawal,सवाल
396,ayyappan,अय्यप्पन
397,baseera,बसीर
398,vinugopal,विणुगोपाल
399,raav,राव
400,nimish,निमिश
401,aap,आप
402,marji,मर्ज़ी
403,kvenacho,क्वेनाचो
404,lokesh,लोकेश
405,aabhir,आभीर
406,nippon,निप्पॉन
407,mining,माइनिंग
408,holdings,होल्डिंग्स
409,havange,हवांगे
410,priks,प्रिक्स
411,medisis,मेडिसिस
412,lusander,ल्यूसेंडर
413,formidable,फोर्मिडेबल
414,jodi,जोडी
415,kanyalal,कन्हैयालाल
416,kin,कीन
417,salaam,सलाम
418,kelkar,केलकर
419,chelsiyaa,चेल्सिया
420,zizzee,ज़िज़ी
421,jeeval,जीवल
422,vaasanti,वासंती
423,dharam,धरम
424,veer,वीर
425,galenis,ग्लेनिस
426,paanl,पॉल
427,varlis,व्रेलिस
428,greeh,ग्रीक
429,hastreet,ह‍िस्ट्री
430,forte,फोर्ट
431,worth,वर्थ
432,teja,तेजा
433,tejal,तेजल
434,khidaike,खिड़की
435,kunti,कुंती
436,keena,कीना
437,yasmin,यास्मिन
438,madhuchanda,मधुचन्दा
439,javait,जवाद
440,dayjan,टेजॉन
441,javan,जवान
442,kioto,क्योटो
443,moskva,मोस्क्वा
444,anjane,अनजाने
445,mohammad,मोहम्मद
446,madani,मदानी
447,miya,मियाँ
448,asrafi,अशरफी
449,ashapurna,आशापूर्णा
450,devi,देवी
451,sarey,सरेय
452,luck,लॅक
453,violence,वॉलेंसा
454,trigental,ट्रेगैन्टल
455,georgia,ज्यार्जियो
456,osmund,ओसमंड
457,nabraska,नेब्रास्का
458,bhadran,भद्रन
459,shoab,शोएब
460,kaviraj,कविराज
461,hainis,हॉयनिस
462,bhilwara,भीलवाड़ा
463,hujes,ह्युजेस
464,hare,हरे
465,kaanch,काँच
466,chudiyna,चुड़ियाँ
467,jaindra,ज़ैंड्रा
468,jeki,जैकी
469,baba,बाबा
470,bule,बुले
471,shah,शाह
472,shaikh,शेख
473,chilli,चिल्ली
474,divine,डिवाइन
475,nagar,नगर
476,done,डन
477,shiv,शिव
478,raatri,रात्रि
479,nagma,नगमा
480,deep,दीप
481,daasgupta,दासगुप्ता
482,banani,बननी
483,sudarshna,सुदर्शना
484,tayibaaha,तय्यिबाह
485,banaahi,बनाही
486,bhagavaanpura,भगवानपुरा
487,anokha,अनोखा
488,rishta,रिश्ता
489,scent,सेंट
490,meri,मेरी
491,naseer,नसीर
492,duff,डफ
493,ka,का
494,phaamarn,पॉमर्न
495,gurudwara,गुरूद्वारा
496,tibbi,टिब्बी
497,saahib,साहिब
498,tarkkas,तरकस
499,mout,मौत
500,kaa,का
501,tufaan,तूफान
502,harraarey,हरारे
503,jeraald,जेरॉल्ड
504,goarade,गौरडे
505,lele,लेले
506,darbar,दरबार
507,mutti,मुत्ती
508,nafarat,नफरत
509,aanhdhi,आँधी
510,gaay,गाय
511,dog,डॉग
512,sibojiryam,सीबोर्जियम
513,lalitkishore,ललितकिशोर
514,sugtiy,सुगतीय
515,sabak,सबक
516,hatyare,हत्यारे
517,khemchand,खेमचंद
518,naalko,नाल्को
519,bayar,बायर
520,badavi,बदावी
521,devgam,देवगम
522,waltars,वाल्टर्स
523,afsana,अफसाना
524,slasen,स्लेसेन
525,gas,गस
526,shungare,शुंगारे
527,kaheesha,कहीशा
528,smith,स्मिथ
529,shekel,शेकेल
530,josaf,जोसफ
531,stelin,स्टेलिन
532,hinge,हिंगे
533,bankiyaw,बैंकियाओ
534,liyonardo,लियोनार्डो
535,kepriyo,कैप्रियो
536,garnet,गर्नेट
537,krugar,क्रुगर
538,war,वार
539,chittar,चित्तर
540,indian,इंडियन
541,omar,ओमर
542,kheyyam,खैय्यम
543,players,प्लेयर्स
544,formalisis,फ़ार्माएक्सिस
545,limited,लिमिटेड
546,pawaskar,पावसकर
547,faninath,फणिनाथ
548,edlin,एडलिन
549,sant,संत
550,xyanershwar,ज्ञानेश्वर
551,raghvendra,राघवेंद्र
552,natu,नातू
553,cheboob,चेकोब
554,babu,बाबू
555,memon,मेमन
556,express,एक्सप्रेस
557,itochu,इतोचु
558,atroli,अत्रौली
559,sapna,सपना
560,taisir,तैसिर
561,murre,मुर्रे
562,gudwin,गुडविन
563,dark,डार्क
564,street,स्ट्रीट
565,sikkrapts,स्क्रिप्ट्स
566,aakash,आकाश
567,frank,फ़्रैंक
568,raj,राज
569,tilak,तिलक
570,laakirn,लार्किन
571,riyaan,रियान
572,vanmata,वनमाता
573,international,इंटरनेशनल
574,paper,पेपर
575,jet,जेट
576,airways,एयरवेज़
577,anadyant,अनाद्यंत
578,gujjar,गुज्जर
579,banba,बैंबा
580,actress,एक्ट्रेस
581,kyun,क्यों
582,bani,बनी
583,hasina,हसीना
584,maan,मान
585,iravti,इरावती
586,makisma,मक्सिमा
587,sumitra,सुमित्रा
588,vishya,विषया
589,hind,हिन्द
590,edakad,इदाक्क्ड़
591,herve,हिरवे
592,derrick,डेरिक
593,more,मुर्रे
594,jaegi,जाएगी
595,amarp,अमरप
596,lawarris,लावारिस
597,fakhrh,फख्र
598,roj,रोज
599,kennedy,कैनेडी
600,arsikeri,अरसिकेरी
601,junction,जंक्शन
602,detective,डिटेक्टिव
603,janu,जानू
604,riverside,रिवरसाइड
605,marsabit,मारसाबिट
606,and,एण्ड
607,reserve,रिज़र्व
608,jagmohan,जगमोहन
609,sanjeevan,संजीवन
610,mahindra,महिंद्रा
611,yujin,युजिन
612,mangalore,मैंगलोर
613,chemicals,केमिकल्स
614,mishol,मिशेल
615,london,लंदन
616,dublin,डब्ल‍िन
617,writers,राइटर्स
618,do,दो
619,aanhgee,आँखें
620,enig,एनीज
621,bhell,भेल
622,myginsheyam,मैग्निशियम
623,ranghaava,रंधावा
624,looyisa,लुइसा
625,kep,केप
626,code,कॉड
627,faded,फाटेट
628,neenth,नींद
629,hamare,हमारी
630,khyalab,ख्वाब
631,tomhara,तुम्हारे
632,neris,नेरीस
633,townsand,टाउनसेंड
634,bawli,बाउली
635,chunauti,चुनौती
636,ghatprabha,घाटप्रभा
637,brook,ब्रूक
638,chandiya,चंदिया
639,ginis,ग‍िनीज
640,world,वर्ल्ड
641,offf,ऑफ
642,records,रेकॉर्ड्स
643,muquabla,मुकाबला
644,abhimand,अभिमन्द
645,linel,लाइनेल
646,wanker,वॉकर
647,shubhang,शुभांग
648,delta,डेल्टा
649,ear,एयर
650,lains,लाइन्स
651,thomson,थॉमसन
652,jack,जेक
653,nicholson,निकोलसन
654,mohsin,मोहसिन
655,khan,खान
656,vidya,विद्या
657,vardhak,वर्धक
658,sang,संघ
659,high,हाई
660,school,स्कूल
661,bangalore,बैंगलोर
662,jurat,जुर्रत
663,haikla,हेक्ला
664,ajay,अजेय
665,krushna,कृष्णा
666,grant,ग्रांट
667,breadburn,ब्रैडबर्न
668,saaransh,सारांश
669,elita,एलिटा
670,rahima,रहीम
671,ajmat,अज़्मत
672,yomhas,थॉमस
673,army,आर्मी
674,public,पब्‍लिक
675,new,न्यू
676,delhi,डेल्ही
677,garhi,गर्ही
678,maanikpur,मानिकपुर
679,adam,एडम
680,kaavli,कावली
681,price,प्राइज़
682,glora,ग्लोरा
683,benito,बेनिटो
684,musolini,मुसोलिनी
685,jaysudha,जयसुधा
686,federal,फ़ेडेरल
687,templo,टेम्पलो
688,day,डे
689,pen,पेन
690,royal,रॉयल
691,academy,एकेडमी
692,of,ऑफ
693,arts,आर्ट्स
694,julinka,जूलिन्का
695,bats,बेट्स
696,anikuttan,अनइकुट्‍टम
697,reservoir,रिज़रवायर
698,david,डेविड
699,albanjaa,अलबन्ज़ा
700,a,ए
701,builinggul,बिलींगुअल
702,siberut,सिबेरुट
703,hamdi,हम्दी
704,jeend,जींद
705,dream,ड्रीम
706,girl,गर्ल
707,biwi,बीवी
708,lloyd,लॉएड
709,blhind,अंधों
710,suwo,सूवो
711,aftab,आफताब
712,radha,राधा
713,sita,सीता
714,khubgawkar,खुबगावकर
715,prabhas,प्रभास
716,great,ग्रेट
717,sandy,सैंडी
718,nalayak,नालायक
719,richard,रिचर्ड
720,bartan,बरटॉन
721,newbery,न्यूबेरी
722,honour,हॉनर
723,milan,मिलान
724,malpensa,मालपेन्सा
725,marlon,मार्लोन
726,black,ब्लैक
727,sakotiya,स्कॉटिया
728,see,सी
729,sheikh,शेख़
730,shabeli,शबेली
731,dhruv,ध्रुव
732,indrakarman,इंद्रकर्मण
733,portsmouth,पोर्ट्समाउथ
734,shrimyi,श्रीमयी
735,glacier,ग्लेशियर
736,mugdala,मग्दला
737,hele,हेले
738,joel,जोएल
739,ausment,ऑसमेंट
740,sarfarosh,सरफरोश
741,raji,राज़ी
742,doctor,डॉक्टर
743,shaitan,शैतान
744,aakhri,आखिरी
745,muqabla,मुकाबला
746,munmayi,मृण्मयी
747,niharika,निहारिका
748,jewel,ज्वेल
749,thief,थीफ
750,tanbur,तान्बूर
751,metropolitan,मैट्रोपॉलिटन
752,sagaami,सगामी
753,jihaan,जिहान
754,dusri,दूसरी
755,dulhann,दुल्हन
756,abhir,अभीर
757,thamarpaili,थर्मोपाइली
758,dushmann,दुश्मन
759,bhopatkar,भोपटकर
760,bagdad,बगदाद
761,raatein,रातें
762,aduj,अदुज़
763,zahir,ज़हीर
764,jab,जब
765,kisi,किसी
766,te,गए
767,master,उस्ताद
768,aswan,अस्वान
769,halim,हलीम
770,newberry,न्यूबेरी
771,le lu,लु लु
772,utah,उटाह
773,se,से
774,hota,होता
775,hain,है
776,bhadresh,भद्रेश
777,annapurna,अन्नपूर्णा
778,morning,मॉर्निंग
779,vivek,क्व‍िक
780,jimmy,जिम्मी
781,cook,कुक
782,raajit,राजित
783,subrose,सुब्रोस
784,satna,सतना
785,neelam,नीलम
786,pari,परी
787,triborag,त्रिबोरघ
788,barya,बर्या
789,avion,एवियन
790,centurian,सेंच्यूरियन
791,baki,बकी
792,bill,बिल
793,lorry,लॉरी
794,kewin,केविन
795,druars,डुअर्स
796,kahani,कहानी
797,fulvati,फूलवती
798,bhemasvaadi,भेमस्वादी
799,bejubaan,बेज़ुबान
800,corneliya,कोर्नेलिया
801,krishnakanth,कृष्णकांता
802,ketalin,कैटलिन
803,dundun,डुनडुन
804,bland,ब्लांड
805,sarojini,सरोजिनी
806,bheem,भीम
807,garjana,गर्जना
808,haphijoor,हफिज़ुर
809,rahaman,रहमान
810,ross,रॉस
811,pirot,पीरॉट
812,rat,रात
813,ke,के
814,raahi,राही
815,shaahid,शाहिद
816,anwar,अनवर
817,sheep,शीप
818,nounihaal,नौनिहाल
819,emirates,एमीरेट्स
820,kalisi,कलसी
821,sidoni,सिडोनी
822,sandhi,संधि
823,guru,गुरु
824,dakshin,दक्षिणा
825,saint,सेंट
826,george,जॉर्ज
827,doovar,टॉवर
828,wan,वन
829,sowgath,सौगात
830,neda,निदा
831,baabaa,बाबा
832,mohayiyaaddin,मुहइयाद्दीन
833,haai,हाई
834,iumgal,एंगल
835,bydaree,बैटरी
836,afshaar,अफ्शां
837,rangeen,रंगीन
838,bhairav,भैरव
839,pinaak,पिनाक
840,ek,एक
841,shola,शोला
842,sven,स्वैन
843,mrunalini,मृणालिनी
844,finoleks,फ़िनोलेक्स
845,industriz,इंडस्ट्रीज़
846,jalandhar,जालंधर
847,vijete,विजेती
848,husnaara,हुस्नआरा
849,northempton,नार्थएंपटन
850,college,कॉलेज
851,bada,बड़ा
852,aadimi,आदमी
853,apna,अपना
854,khoon,खून
855,white,व्हाइट
856,suverchala,सुवर्चला
857,easter,ईस्टर
858,sign,सैन
859,pablo,पाब्लो
860,bay,बे
861,gola,गोला
862,barood,बारूद
863,sharayana,शरण्या
864,dushman,दुश्मन
865,hatctiff,हॉचटिफ़
866,balvir,बलवीर
867,benington,बेनिंग्टन
868,marvin,मर्विन
869,deelo,डिलों
870,moin,मोइन
871,khaan,खान
872,mohiniatum,मोहिनीअट्टम
873,singanhdah,स्निग्धा
874,sayeed,सय्यद
875,fazal,फज़्ल
876,karim,करीम
877,kadri,क़ादरी
878,antalaya,अंताल्या
879,havalimani,हावालीमानी
880,fatehgad,फतेहगढ़
881,simpro,स्पिरो
882,ichu,इक्षु
883,jeyad,जियाद
884,hapoogo,ह्यूगो
885,award,अवार्ड
886,mursal,मुरसल
887,paida,पैदा
888,karne,करने
889,vaale,वाले
890,jhoncha,ज़ोचा
891,rogini,रोज़ीना
892,adil,अदिल
893,eyan,इयान
894,makevan,मैकवेन
895,natvar,नटवर
896,kantele,कैनटिले
897,uma,उमाशंकर
898,joshi,जोशी
899,bat,बट
900,panchmahal,पंचमहल
901,beehu,बीहू
902,kesaava,केसावा
903,dalhaiji,डलहैज़ी
904,group,ग्रुप
905,bairi,बैरी
906,haidli,हैडली
907,mehendi,मेहँदी
908,lagi,लगी
909,haath,हाथ
910,stuart,स्टुअर्ट
911,bhadrachalam,भद्राचलम
912,kalelakar,कालेलकर
913,vedic,वैदिक
914,ravi,रवि
915,ratnayake,रत्नायके
916,cais,कैस
917,deprame,डेपॉर्मे
918,shreevallabh,श्रीवल्लभ
919,karl,कार्ल
920,raugars,रॉगर्स
921,semyulikee,सेम्युलिकी
922,samrendu,समरेंदु
923,kurde,कुरडे
924,salil,सलिल
925,ankola,अंकोला
926,gajasya,गजस्या
927,mauriliyo,मौरिलिओ
928,somarset,सोमरसेट
929,mom,मॉम
930,bradshow,ब्रेडशॉ
931,ibtal,इब्तिहल
932,al,अल
933,hilaal,हिलाल
934,vivi,विवी
935,snow,स्नो
936,shyamalata,श्यामलता
937,phillip,फेलिप
938,dell,डेल
939,maro,मॉरो
940,evergreen,एवरग्रीन
941,community,कम्युनिटी
942,keenan,कीनन
943,carch,चर्च
944,open,ओपन
945,door,डोर
946,chau,चाउ
947,mahla,माहला
948,reliance,रिलायंस
949,naichura,नैच्युरा
950,prasam,प्राशम
951,archardas,ऑर्चर्ड्स
952,harway,हार्वे
953,avardas,अवार्ड्‍स
954,lopamudra,लोपमुद्रा
955,saeed,सईद
956,aajaad,आज़ाद
957,steav,स्टीव
958,wander,वॉन्डर
959,najar,नज़र
960,union,यूनियन
961,pipe,पाइप
962,atttuniti,एट्टयूनिटी
963,cosmo,कॉस्मो
964,oil,ऑईल
965,dwigt,ड्वाइट
966,humayrah,हुमयराह
967,rameez,रमीज़
968,satwik,सात्विक
969,dayton,डेटन
970,victim,शिकार
971,custer,कस्टर
972,offenpest,ऑफेनपेस्ट
973,caterpillar,केटरपिलर
974,shriram,श्रीराम
975,transfi,ट्रांसफ़ी
976,shiva,शिवा
977,gamma,गामा
978,four,फोर
979,continents,कॉनटिनेंट्‍स
980,figure,फिगर
981,skating,स्केटिंग
982,champions,चैंपियन्स
983,fuller,फुलर
984,murder,हत्या
985,jacob,जेकब
986,aurum,ऑरम
987,bareerah,बरीरह
988,madhuri,माधुरी
989,institute,इंस्टीट्‍यूट
990,rocky,रॉकी
991,ananya,अनन्या
992,bar,बार
993,chale,चले
994,aao,आओ
995,gaverai,गेवरई
996,somkanta,सोमकांता
997,internet,इंटरनेट
998,initiative,इनीशिएटिव
999,japan,जापान
1000,phride,अभिमान
1001,figter,फाइटर
1002,dabholkar,दाभोलकर
1003,allah,अल्लाह
1004,leigna,लैग़ना
1005,exsmoor,एक्समूर
1006,rudra,रुद्र
1007,pratap,प्रताप
1008,singh,सिंह
1009,sanobar,सनौबर
1010,bonus,बोनसो
1011,electronics,इलेक्ट्रॉनिक्स
1012,almeli,एमेली
1013,american,अमेरिकन
1014,pritikaana,प्रीतिकाना
1015,faavji,फावज़ी
1016,baalkrishna,बालकृष्ण
1017,rammohan,राममोहन
1018,kutunbe,कुटुंबे
1019,gujarat,गुजरात
1020,state,स्टेट
1021,melkam,मैल्कम
1022,sewaram,सेवाराम
1023,bali,बाली
1024,ansli,ऐंस्ली
1025,ridi,रिद्धि
1026,eileta,इलेटा
1027,kettel,केटल
1028,bruce,ब्रूस
1029,mukdar,मुकद्दर
1030,porttipahta,पोर्टीपहटा
1031,profit,प्रोफिट
1032,footbal,फुटबॉल
1033,cup,कप
1034,jagat,जगत
1035,chizarira,चिज़ारिरा
1036,himalay,हिमालय
1037,mary,मेरी
1038,asha,आशा
1039,shig,शैग
1040,maghavaajeet,मघवाजित
1041,chakr,चक्र
1042,fhajalpoor,फज़लपुर
1043,insaafa,इंसाफ
1044,my,मैं
1045,karoomga,करूँगा
1046,desipina,डेस्पिना
1047,kaarnavaalis,कार्नवॉलिस
1048,suhaag,सुहाग
1049,cafort,केफार्ट
1050,united,यूनाइटेड
1051,methodist,मेथोडिस्ट
1052,hindustan,हिंदुस्तान
1053,katrine,कैटरीन
1054,mahesh,महेश
1055,rajiyaah,रजियाह
1056,girilaal,गिरिलाल
1057,texsaas,टेक्सास
1058,goldy,गोल्डी
1059,horn,हॉन
1060,fahimaah,फहीमाह
1061,palar,पालर
1062,porandlar,पोरन्दलर
1063,ekchit,एकचित्त
1064,major,मेजर
1065,leg,लीग
1066,loucross,लैक्रोस
1067,sarvish,सर्विस
1068,valdimir,वाल्देमर
1069,kraegton,क्रेगटन
1070,jaldeep,जलदीप
1071,cremain,क्रिमेन
1072,campens,कैम्पेन्स
1073,pyar,प्यार
1074,yamini,यामिनी
1075,gelena,गेलेना
1076,marasi,मरासी
1077,narayani,नारायणी
1078,sanjh,सांझ
1079,chaminda,चमिंडा
1080,mendis,मेंडिस
1081,luicil,ल्युसिल
1082,ball,बॉल
1083,jin,जिन
1084,maao,माओ
1085,building,बिल्डिंग
1086,dholak,ढोलक
1087,aakar,आकार
1088,gora,गोरा
1089,ghuma,घुमा
1090,arab,अरब
1091,soudagar,सौदागर
1092,gerald,गेराल्ड
1093,peckover,पेकोवर
1094,kiw,कीव
1095,bela,बेला
1096,manusela,मानुसेला
